Month,global,European
199502,0.2626,3.4138
199503,-0.0415,0.5244
199504,0.0632,-0.2285
199505,-0.0742,-0.2174
199506,0.0877,0.5085
199507,0.0624,0.0573
199508,0.0688,-0.0155
199509,-0.0044,-0.5253
199510,0.0447,0.9402
199511,0.0131,-1.4422
199512,-0.1416,-1.7737
199601,-0.1686,-0.6892
199602,-0.0248,-2.3246
199603,-0.1161,-2.1179
199604,-0.1619,-0.4040
199605,-0.2063,0.0194
199606,-0.1420,-0.0739
199607,-0.0400,-0.9839
199608,0.0642,0.0905
199609,-0.1313,-1.9169
199610,-0.2007,-0.0622
199611,0.0178,1.4147
199612,-0.0471,-0.9720
199701,-0.1784,-0.4502
199702,-0.1172,1.4891
199703,0.0240,0.3770
199704,-0.1454,-1.9140
199705,-0.0915,-0.2425
199706,0.0938,0.2476
199707,-0.0057,-0.4103
199708,0.0417,0.4830
199709,0.1316,-0.4681
199710,0.1868,-1.0700
199711,0.2191,0.3877
199712,0.1510,0.2708
199801,0.1430,1.5329
199802,0.3514,1.2598
199803,0.1589,-0.6406
199804,0.3034,-0.0540
199805,0.3391,-0.0491
199806,0.3570,0.5725
199807,0.2881,-0.1504
199808,0.3172,-0.3152
199809,0.1434,0.0900
199810,0.0620,-0.1421
199811,-0.0017,-2.3472
199812,0.1115,-0.8957
199901,-0.0360,0.5781
199902,0.1493,-0.1813
199903,-0.1965,0.6992
199904,-0.1210,1.2133
199905,-0.1364,-0.4973
199906,-0.0584,1.3551
199907,-0.0356,0.8972
199908,-0.0618,-0.1160
199909,-0.0044,1.4048
199910,-0.0617,0.6286
199911,-0.0657,-0.4624
199912,-0.0247,0.7472
200001,-0.1986,-0.4016
200002,0.0608,2.0021
200003,-0.0243,0.3665
200004,0.0999,1.6887
200005,-0.0597,0.6192
200006,-0.0701,0.2295
200007,-0.0714,-0.4211
200008,0.0007,0.2210
200009,-0.0425,-0.2191
200010,-0.1561,1.0645
200011,-0.1091,1.9989
200012,-0.1434,1.9914
200101,-0.0388,2.0428
200102,-0.0855,0.1571
200103,0.0351,0.6457
200104,0.0292,0.4927
200105,0.1151,-0.0886
200106,0.0628,-0.1685
200107,0.1458,1.1728
200108,0.1248,0.6974
200109,0.1181,-0.0743
200110,0.1336,1.5470
200111,0.3371,-0.4736
200112,0.2290,-2.6851
200201,0.2862,0.3238
200202,0.1891,3.5852
200203,0.3853,1.7115
200204,0.1189,0.4465
200205,0.2409,0.6966
200206,0.1970,0.9659
200207,0.2003,0.9245
200208,0.1291,0.4304
200209,0.2015,-0.2578
200210,0.1587,-1.1193
200211,0.1827,0.4232
200212,0.0767,-2.1472
200301,0.2975,-0.8261
200302,0.1098,-1.5461
200303,0.0283,0.0837
200304,0.0625,-0.5753
200305,0.1472,1.5928
200306,0.0350,0.9833
200307,0.1191,1.2184
200308,0.2217,1.3258
200309,0.2700,0.1253
200310,0.3437,-1.0962
200311,0.1999,1.5077
200312,0.3762,0.9338
200401,0.1492,-0.4298
200402,0.2243,0.5842
200403,0.1831,0.6280
200404,0.1682,0.2709
200405,-0.0494,-0.9761
200406,0.0804,-0.3070
200407,-0.1095,-0.2954
200408,0.0141,0.4418
200409,0.1562,0.5584
200410,0.2464,0.8531
200411,0.3085,-0.0590
200412,0.1032,1.3073
200501,0.3385,1.7873
200502,0.2033,-1.3552
200503,0.2828,-1.5075
200504,0.2531,0.6162
200505,0.2305,0.4254
200506,0.2503,0.1975
200507,0.2517,0.6065
200508,0.2053,-0.0472
200509,0.3259,0.8267
200510,0.4115,0.7681
200511,0.3688,0.6825
200512,0.3000,0.2177
200601,0.1472,-1.7358
200602,0.2867,-1.7018
200603,0.1829,-1.6834
200604,0.1127,0.6358
200605,0.0892,0.3641
200606,0.2550,1.0058
200607,0.1697,1.1295
200608,0.2467,0.3673
200609,0.2443,1.5069
200610,0.3775,1.4263
200611,0.3384,1.4386
200612,0.3942,2.8652
200701,0.5542,2.8526
200702,0.2852,-0.0141
200703,0.1950,2.3909
200704,0.3563,0.8682
200705,0.2448,1.1572
200706,0.1500,1.1057
200707,0.1727,0.2563
200708,0.1570,0.8195
200709,0.1064,-0.2073
200710,0.2256,0.5018
200711,0.1986,-0.5871
200712,0.1096,1.0937
200801,-0.1371,1.5381
200802,-0.1236,2.5893
200803,0.2131,1.0471
200804,0.0559,0.8717
200805,0.0557,-0.0669
200806,-0.0246,0.2524
200807,0.1429,0.0121
200808,0.0967,0.3473
200809,0.1662,-0.5761
200810,0.2767,0.6814
200811,0.2888,0.9640
200812,0.1549,1.0971
200901,0.2507,0.0737
200902,0.1625,0.3023
200903,0.0731,0.1960
200904,0.1225,0.7605
200905,0.1569,0.7344
200906,0.1782,0.3532
200907,0.3040,0.3111
200908,0.2209,0.3741
200909,0.3000,0.9847
200910,0.3196,-0.1272
200911,0.3783,2.1991
200912,0.2669,0.0186
201001,0.3847,-2.7126
201002,0.4194,-0.6619
201003,0.4633,-0.1578
201004,0.4350,0.8909
201005,0.3593,0.4212
201006,0.2604,0.5213
201007,0.2182,2.1215
201008,0.2218,1.3535
201009,0.2953,0.1903
201010,0.3560,-1.0088
201011,0.3712,1.0296
201012,0.0971,-2.0873
201101,0.1006,0.1540
201102,0.0213,-1.5554
201103,0.1357,0.0328
201104,0.1962,1.7203
201105,0.1192,0.5759
201106,0.1943,0.8609
201107,0.3094,0.5250
201108,0.2865,0.3980
201109,0.2436,1.6097
201110,0.2692,0.2594
201111,0.1428,0.8085
201112,0.1609,2.6245
201201,0.0255,0.1866
201202,0.0183,-3.4430
201203,0.0581,1.0071
201204,0.2369,0.4329
201205,0.3344,0.9908
201206,0.2933,0.7697
201207,0.2066,0.8775
201208,0.2521,0.8015
201209,0.3091,0.8406
201210,0.4587,0.6165
201211,0.4333,1.8901
201212,0.1667,-1.1686
201301,0.3378,0.2220
201302,0.2129,1.0666
201303,0.2182,-2.2747
201304,0.1461,0.3352
201305,0.1823,1.1646
201306,0.2813,0.8956
201307,0.1413,0.5112
201308,0.2304,0.7594
201309,0.3659,-0.0065
201310,0.2910,0.8987
201311,0.3871,1.7365
201312,0.3255,1.5071
201401,0.3180,0.7736
201402,0.1015,3.3664
201403,0.2849,2.5893
201404,0.2921,1.5034
201405,0.3443,0.4972
201406,0.2460,-0.1086
201407,0.2320,1.0176
201408,0.3116,0.4084
201409,0.3807,0.9464
201410,0.4032,0.6260
201411,0.2885,1.4275
201412,0.3870,1.3806
201501,0.3835,1.3335
201502,0.3960,1.6310
201503,0.4229,1.7344
201504,0.2391,0.4523
201505,0.3376,0.5063
201506,0.3601,0.1534
201507,0.3200,0.4626
201508,0.4178,1.3141
201509,0.4631,1.4197
201510,0.6809,-0.1198
201511,0.6232,2.3428
201512,0.7380,3.1756
201601,0.7420,-0.7840
201602,0.8850,3.7456
201603,0.8201,1.2050
201604,0.7121,1.3747
201605,0.5762,0.8221
201606,0.4350,1.0753
201607,0.5268,0.9516
201608,0.5768,0.6932
201609,0.5540,1.4025
201610,0.5812,-0.2332
201611,0.6422,-0.1756
201612,0.5341,0.8435
201701,0.5945,-0.8761
201702,0.6967,1.7085
201703,0.6938,2.4792
201704,0.5108,-0.1960
201705,0.5335,0.1711
201706,0.3757,0.9020
201707,0.4319,0.2155
201708,0.4715,1.0282
201709,0.4758,0.6316
201710,0.5990,0.6705
201711,0.4853,0.7381
201712,0.5705,2.0310
201801,0.4317,2.0687
201802,0.4598,-0.9346
201803,0.4674,-1.4283
201804,0.4877,2.3990
201805,0.4128,2.3754
201806,0.3989,0.8209
201807,0.4446,1.6561
201808,0.3840,1.4439
201809,0.3957,1.6412
201810,0.5942,1.0235
201811,0.4755,1.2533
201812,0.5296,1.2699
201901,0.4753,-0.1813
201902,0.5056,2.7135
201903,0.7020,1.6839
201904,0.6198,0.9839
201905,0.5177,-0.0031
201906,0.5424,2.3423
201907,0.5631,0.0378
201908,0.5316,0.8792
201909,0.5750,0.7241
