"budget","revenue","movie_id","title","popularity","status","release_date","runtime","vote_average","vote_count"
200000000,310669540,20662,"Robin Hood",37.668301,"Released","2010-05-12",140,6.2,1398
250000000,958400000,57158,"The Hobbit: The Desolation of Smaug",94.370564,"Released","2013-12-11",161,7.6,4524
180000000,372234864,2268,"The Golden Compass",42.990906,"Released","2007-12-04",113,5.8,1303
207000000,5.5e+08,254,"King Kong",61.22601,"Released","2005-12-14",187,6.6,2337
200000000,1845034188,597,"Titanic",100.025899,"Released","1997-11-18",194,7.5,7562
250000000,1153304495,271110,"Captain America: Civil War",198.372395,"Released","2016-04-27",147,7.1,7241
209000000,303025485,44833,"Battleship",64.928382,"Released","2012-04-11",131,5.5,2114
150000000,1513528810,135397,"Jurassic World",418.708552,"Released","2015-06-09",124,6.5,8662
200000000,1108561013,37724,"Skyfall",93.004993,"Released","2012-10-25",143,6.9,7604
200000000,783766341,558,"Spider-Man 2",35.149586,"Released","2004-06-25",127,6.7,4321
200000000,1215439994,68721,"Iron Man 3",77.68208,"Released","2013-04-18",130,6.8,8806
200000000,1025491110,12155,"Alice in Wonderland",78.530105,"Released","2010-03-03",108,6.4,4645
210000000,459359555,36668,"X-Men: The Last Stand",3.857526,"Released","2006-05-24",104,6.3,3525
200000000,743559607,62211,"Monsters University",89.186492,"Released","2013-06-20",104,7,3528
150000000,836297228,8373,"Transformers: Revenge of the Fallen",21.939663,"Released","2009-06-19",150,6,3138
210000000,1091405097,91314,"Transformers: Age of Extinction",116.840296,"Released","2014-06-25",165,5.8,3095
200000000,491868548,68728,"Oz: The Great and Powerful",46.985445,"Released","2013-03-07",130,5.7,3530
200000000,705717432,102382,"The Amazing Spider-Man 2",89.270217,"Released","2014-04-16",142,6.5,4179
170000000,400062763,20526,"TRON: Legacy",73.79505,"Released","2010-12-10",125,6.3,2841
200000000,559852396,49013,"Cars 2",49.98659,"Released","2011-06-11",106,5.8,2033
200000000,219851172,44912,"Green Lantern",51.872839,"Released","2011-06-16",114,5.1,2487
200000000,1066969703,10193,"Toy Story 3",59.995418,"Released","2010-06-16",103,7.6,4597
200000000,371353001,534,"Terminator Salvation",71.862892,"Released","2009-05-20",115,5.9,2463
190000000,1506249360,168259,"Furious 7",102.322217,"Released","2015-04-01",137,7.3,4176
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560
250000000,747862775,127585,"X-Men: Days of Future Past",118.078691,"Released","2014-05-15",131,7.5,6032
190000000,467365246,54138,"Star Trek Into Darkness",78.291018,"Released","2013-05-05",132,7.4,4418
195000000,197687603,81005,"Jack the Giant Slayer",43.349855,"Released","2013-02-27",114,5.5,2598
105000000,351040419,64682,"The Great Gatsby",61.196071,"Released","2013-05-10",143,7.3,3769
150000000,335154643,9543,"Prince of Persia: The Sands of Time",62.169881,"Released","2010-05-19",116,6.2,2317
180000000,407602906,68726,"Pacific Rim",56.523205,"Released","2013-07-11",131,6.7,4794
195000000,1123746996,38356,"Transformers: Dark of the Moon",28.529607,"Released","2011-06-28",154,6.1,3299
185000000,786636033,217,"Indiana Jones and the Kingdom of the Crystal Skull",75.674458,"Released","2008-05-21",122,5.7,2495
175000000,331926147,105864,"The Good Dinosaur",51.692953,"Released","2015-11-14",93,6.6,1736
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641
185000000,343471816,188927,"Star Trek Beyond",65.352913,"Released","2016-07-07",122,6.6,2568
180000000,521311860,10681,"WALL·E",66.390712,"Released","2008-06-22",98,7.8,6296
140000000,258022233,5174,"Rush Hour 3",22.57178,"Released","2007-08-08",91,6.1,783
200000000,769653595,14161,"2012",45.274225,"Released","2009-10-10",158,5.6,4903
200000000,325233863,17979,"A Christmas Carol",39.744242,"Released","2009-11-04",96,6.6,1095
176000003,183987723,76757,"Jupiter Ascending",85.36908,"Released","2015-02-04",124,5.2,2768
180000000,356743061,258489,"The Legend of Tarzan",42.741719,"Released","2016-06-29",109,5.5,2430
180000000,748806957,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,"Released","2005-12-07",143,6.7,2629
178000000,543934787,246655,"X-Men: Apocalypse",139.272042,"Released","2016-05-18",144,6.4,4721
185000000,1004558444,155,"The Dark Knight",187.322927,"Released","2008-07-16",152,8.2,12002
175000000,735099082,14160,"Up",92.201962,"Released","2009-05-13",96,7.7,6870
175000000,381509870,15512,"Monsters vs Aliens",36.167578,"Released","2009-03-19",94,6,1423
140000000,585174222,1726,"Iron Man",120.725053,"Released","2008-04-30",126,7.4,8776
170000000,185770160,44826,"Hugo",32.319043,"Released","2011-11-22",126,7,2141
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020
145000000,401128639,1735,"The Mummy: Tomb of the Dragon Emperor",60.034162,"Released","2008-07-01",112,5.2,1387
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458
175000000,1.73e+08,2698,"Evan Almighty",27.082182,"Released","2007-06-09",96,5.3,1151
178000000,370541256,137113,"Edge of Tomorrow",79.456485,"Released","2014-05-27",113,7.6,4858
175000000,264218220,9804,"Waterworld",44.640292,"Released","1995-07-28",135,5.9,992
175000000,302469017,14869,"G.I. Joe: The Rise of Cobra",32.852443,"Released","2009-08-04",118,5.6,1962
175000000,857611174,150540,"Inside Out",128.655964,"Released","2015-06-09",94,8,6560
175000000,966550600,278927,"The Jungle Book",94.199316,"Released","2016-04-07",106,6.7,2892
200000000,623933331,10138,"Iron Man 2",77.300194,"Released","2010-04-28",124,6.6,6849
170000000,396600000,58595,"Snow White and the Huntsman",77.178973,"Released","2012-05-30",127,5.8,3118
180000000,758539785,102651,"Maleficent",110.620647,"Released","2014-05-28",97,7,4496
170000000,710644566,119450,"Dawn of the Planet of the Apes",243.791743,"Released","2014-06-26",130,7.3,4410
27000000,0,79698,"The Lovers",2.418535,"Released","2015-02-13",109,4.8,34
175000000,150962475,64686,"47 Ronin",41.796339,"Released","2013-12-06",119,5.9,1326
170000000,714766572,100402,"Captain America: The Winter Soldier",72.225265,"Released","2014-03-20",136,7.6,5764
165000000,752600867,10192,"Shrek Forever After",44.041186,"Released","2010-05-16",93,6,1959
190000000,209154322,158852,"Tomorrowland",130.311355,"Released","2015-05-19",130,6.2,2846
165000000,652105443,177572,"Big Hero 6",203.73459,"Released","2014-10-24",102,7.8,6135
165000000,471222889,82690,"Wreck-It Ralph",62.341073,"Released","2012-11-01",108,7.1,4570
165000000,305875730,5255,"The Polar Express",47.323228,"Released","2004-11-10",100,6.4,1474
165000000,389681935,47933,"Independence Day: Resurgence",48.775723,"Released","2016-06-22",120,4.9,2491
165000000,494878759,10191,"How to Train Your Dragon",67.263269,"Released","2010-03-05",98,7.5,4227
200000000,4.35e+08,296,"Terminator 3: Rise of the Machines",69.405188,"Released","2003-07-02",109,5.9,2143
170000000,773328629,118340,"Guardians of the Galaxy",481.098624,"Released","2014-07-30",121,7.9,9742
165000000,675120017,157336,"Interstellar",724.247784,"Released","2014-11-05",169,8.1,10867
160000000,825532764,27205,"Inception",167.58371,"Released","2010-07-14",148,8.1,13752
15000000,7.7e+07,315011,"Shin Godzilla",9.476999,"Released","2016-07-29",120,6.5,143
250000000,1021103568,49051,"The Hobbit: An Unexpected Journey",108.849621,"Released","2012-11-26",169,7,8297
38000000,207283925,9799,"The Fast and the Furious",6.909942,"Released","2001-06-22",106,6.6,3428
150000000,333932083,4922,"The Curious Case of Benjamin Button",60.269279,"Released","2008-11-24",166,7.3,3292
160000000,353624124,49538,"X-Men: First Class",3.195174,"Released","2011-05-24",132,7.1,5181
160000000,653428261,131634,"The Hunger Games: Mockingjay - Part 2",127.284427,"Released","2015-11-18",137,6.6,3984
150000000,215283742,27022,"The Sorcerer's Apprentice",35.580815,"Released","2010-07-13",109,5.8,1470
160000000,181674817,503,"Poseidon",21.133748,"Released","2006-05-12",99,5.5,583
170000000,299370084,241259,"Alice Through the Looking Glass",56.268916,"Released","2016-05-25",113,6.5,1725
160000000,798958165,810,"Shrek the Third",42.986467,"Released","2007-05-17",93,6,2278
160000000,433677183,68735,"Warcraft",63.148529,"Released","2016-05-25",123,6.3,2268
155000000,440603537,87101,"Terminator Genisys",202.042635,"Released","2015-06-23",126,5.8,3631
155000000,415686217,10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader",49.661984,"Released","2010-08-13",113,6.2,1514
140000000,449220945,676,"Pearl Harbor",34.20669,"Released","2001-05-21",183,6.6,1791
150000000,709709780,1858,"Transformers",25.468493,"Released","2007-06-27",144,6.6,4040
155000000,167298192,1966,"Alexander",39.019229,"Released","2004-11-21",175,5.6,927
150000000,938212738,675,"Harry Potter and the Order of the Phoenix",78.144395,"Released","2007-06-28",138,7.4,5494
150000000,895921036,674,"Harry Potter and the Goblet of Fire",101.250416,"Released","2005-11-05",157,7.5,5608
150000000,624029371,8960,"Hancock",56.758411,"Released","2008-07-01",92,6.2,2961
150000000,585349010,6479,"I Am Legend",70.867401,"Released","2007-12-14",101,6.9,4853
150000000,474968763,118,"Charlie and the Chocolate Factory",53.905592,"Released","2005-07-13",115,6.7,3624
150000000,623722818,2062,"Ratatouille",65.677399,"Released","2007-06-22",111,7.5,4369
150000000,374218673,272,"Batman Begins",115.040024,"Released","2005-06-10",140,7.5,7359
150000000,603900354,10527,"Madagascar: Escape 2 Africa",44.141021,"Released","2008-10-30",89,6.2,1810
150000000,413106170,18360,"Night at the Museum: Battle of the Smithsonian",81.781591,"Released","2009-05-20",105,5.9,1971
150000000,373062864,2080,"X-Men Origins: Wolverine",5.954334,"Released","2009-04-28",107,6.2,4021
150000000,424988211,605,"The Matrix Revolutions",73.313918,"Released","2003-11-05",129,6.4,3096
150000000,1274219009,109445,"Frozen",165.125366,"Released","2013-11-27",102,7.3,5295
150000000,738599701,604,"The Matrix Reloaded",70.78591,"Released","2003-05-15",138,6.7,3443
170000000,644571402,76338,"Thor: The Dark World",99.499595,"Released","2013-10-29",112,6.8,4755
150000000,378858340,76341,"Mad Max: Fury Road",434.278564,"Released","2015-05-13",120,7.2,9427
150000000,356613439,13448,"Angels & Demons",67.447636,"Released","2009-05-13",138,6.5,2129
150000000,449326618,10195,"Thor",86.493424,"Released","2011-04-21",115,6.6,6525
150000000,309979994,13053,"Bolt",41.845878,"Released","2008-11-21",98,6.3,1750
150000000,292817841,19585,"G-Force",26.710398,"Released","2009-07-21",88,5.1,510
150000000,3.01e+08,57165,"Wrath of the Titans",44.927635,"Released","2012-03-27",99,5.5,1431
150000000,245527149,62213,"Dark Shadows",50.306728,"Released","2012-05-08",113,5.7,2320
150000000,682330139,177677,"Mission: Impossible - Rogue Nation",114.522237,"Released","2015-07-23",131,7.1,3224
150000000,0,7978,"The Wolfman",21.214571,"Released","2010-02-11",102,5.5,549
150000000,287594577,5559,"Bee Movie",29.332905,"Released","2007-10-28",91,5.7,1171
150000000,665692281,49444,"Kung Fu Panda 2",51.247321,"Released","2011-05-25",91,6.7,1880
150000000,318502923,10196,"The Last Airbender",33.769336,"Released","2010-06-30",103,4.7,1151
150000000,397850012,956,"Mission: Impossible III",63.079003,"Released","2006-05-03",126,6.5,2028
150000000,205366737,117251,"White House Down",39.004588,"Released","2013-06-27",131,6.4,1891
150000000,38992758,50321,"Mars Needs Moms",12.362599,"Released","2011-03-09",88,5.5,199
149000000,64459316,11619,"Flushed Away",22.550135,"Released","2006-10-22",85,6,874
150000000,128388320,266647,"Pan",48.03528,"Released","2015-09-24",111,5.9,954
145000000,272912430,82703,"Mr. Peabody & Sherman",38.73494,"Released","2014-02-07",92,6.7,843
175000000,497409852,652,"Troy",66.803149,"Released","2004-05-13",163,6.9,2759
145000000,746921274,80321,"Madagascar 3: Europe's Most Wanted",44.989192,"Released","2012-06-06",93,6.4,1808
140000000,431971116,36669,"Die Another Day",54.159392,"Released","2002-11-17",133,5.8,1092
144000000,229147509,43074,"Ghostbusters",66.21806,"Released","2016-07-14",116,5.3,2142
140000000,553799566,95,"Armageddon",58.485967,"Released","1998-07-01",151,6.4,2482
140000000,441818803,608,"Men in Black II",91.332849,"Released","2002-07-03",88,6,3114
70000000,195735876,2310,"Beowulf",35.601665,"Released","2007-11-05",115,5.5,841
145000000,521170825,140300,"Kung Fu Panda 3",56.747978,"Released","2016-01-23",95,6.7,1603
145000000,694713380,56292,"Mission: Impossible - Ghost Protocol",77.77477,"Released","2011-12-07",133,6.8,3972
145000000,306941670,81188,"Rise of the Guardians",61.788035,"Released","2012-11-21",97,7.1,1922
100000000,202026112,7552,"Fun with Dick and Jane",25.159168,"Released","2005-12-21",90,5.9,627
140000000,456758981,616,"The Last Samurai",52.341226,"Released","2003-12-05",154,7.3,1895
140000000,268031828,147441,"Exodus: Gods and Kings",101.599427,"Released","2014-12-03",150,5.6,1921
150000000,385680446,13475,"Star Trek",73.616808,"Released","2009-05-06",127,7.4,4518
139000000,821708551,557,"Spider-Man",82.502566,"Released","2002-05-01",121,6.8,5265
145000000,609123048,82702,"How to Train Your Dragon 2",100.21391,"Released","2014-06-12",102,7.6,3106
140000000,150680864,205584,"Gods of Egypt",56.257249,"Released","2016-02-25",127,5.3,1277
135000000,76932943,10048,"Stealth",17.88953,"Released","2005-07-28",121,4.9,331
130000000,185258983,13183,"Watchmen",64.798873,"Released","2009-03-05",163,7,2811
140000000,285444603,944,"Lethal Weapon 4",24.855701,"Released","1998-07-10",127,6.3,767
137000000,245360480,1927,"Hulk",34.981698,"Released","2003-06-19",138,5.3,1533
130000000,371876278,72559,"G.I. Joe: Retaliation",59.325589,"Released","2013-03-26",110,5.4,3025
130000000,119269486,7364,"Sahara",21.605568,"Released","2005-04-06",124,5.7,434
137000000,85131830,2114,"Final Fantasy: The Spirits Within",26.074908,"Released","2001-07-02",106,5.9,433
140000000,370569774,1771,"Captain America: The First Avenger",74.506246,"Released","2011-07-22",124,6.6,7047
135000000,361832400,36643,"The World Is Not Enough",39.604363,"Released","1999-11-08",128,6,862
150000000,212011111,8619,"Master and Commander: The Far Side of the World",36.973031,"Released","2003-11-14",138,6.9,790
120000000,8.29e+08,50620,"The Twilight Saga: Breaking Dawn - Part 2",99.687084,"Released","2012-11-13",115,6.1,2553
130000000,150406466,65759,"Happy Feet Two",17.7735,"Released","2011-11-17",100,5.8,373
150000000,163712074,1724,"The Incredible Hulk",62.898336,"Released","2008-06-12",114,6.1,3021
140000000,183345589,267935,"The BFG",44.19092,"Released","2016-06-01",120,6,1000
135000000,532950503,281957,"The Revenant",100.635882,"Released","2015-12-25",156,7.3,6396
135000000,282570682,77950,"Turbo",44.765377,"Released","2013-07-11",96,6.1,1074
135000000,245724603,44896,"Rango",29.91353,"Released","2011-03-02",107,6.6,2051
132000000,373552094,270946,"Penguins of Madagascar",84.366984,"Released","2014-11-22",92,6.5,1346
70000000,442824138,2503,"The Bourne Ultimatum",45.381501,"Released","2007-08-03",115,7.3,2888
130000000,631744560,9502,"Kung Fu Panda",84.689648,"Released","2008-06-04",90,6.9,3145
130000000,519311965,102899,"Ant-Man",120.09361,"Released","2015-07-14",117,7,5880
130000000,847423452,101299,"The Hunger Games: Catching Fire",76.310119,"Released","2013-11-15",146,7.4,6495
135000000,368871007,228161,"Home",63.473086,"Released","2015-03-18",94,6.8,1519
132000000,591739379,74,"War of the Worlds",48.572726,"Released","2005-06-28",116,6.2,2322
130000000,273339556,8961,"Bad Boys II",38.068736,"Released","2003-07-18",147,6.3,1564
130000000,554987477,417859,"Puss in Boots",20.678787,"Released","2011-10-28",90,6.4,451
110000000,293329073,27576,"Salt",48.829437,"Released","2010-07-21",100,6.2,2093
125000000,362637473,86834,"Noah",46.115758,"Released","2014-03-20",139,5.6,2350
130000000,371940071,17578,"The Adventures of Tintin",89.938296,"Released","2011-10-25",107,6.7,2061
130000000,789804554,673,"Harry Potter and the Prisoner of Azkaban",79.679601,"Released","2004-05-31",141,7.7,5877
130000000,49554002,6972,"Australia",28.840997,"Released","2008-11-18",165,6.3,694
130000000,243843127,82700,"After Earth",42.840582,"Released","2013-05-30",100,5,2532
127500000,354248063,10567,"Dinosaur",26.548594,"Released","2000-05-19",82,6.2,542
127000000,349424282,181533,"Night at the Museum: Secret of the Tomb",115.597753,"Released","2014-12-17",97,6.1,1851
130000000,321887208,38055,"Megamind",68.757242,"Released","2010-10-28",95,6.7,1918
125000000,976475550,671,"Harry Potter and the Philosopher's Stone",109.984351,"Released","2001-11-16",152,7.5,7006
130000000,61648500,49524,"R.I.P.D.",39.448066,"Released","2013-07-18",96,5.4,1260
140000000,655011224,22,"Pirates of the Caribbean: The Curse of the Black Pearl",271.972889,"Released","2003-07-09",143,7.5,6985
125000000,752100229,131631,"The Hunger Games: Mockingjay - Part 1",206.227151,"Released","2014-11-18",123,6.6,5584
125000000,767820459,591,"The Da Vinci Code",45.313197,"Released","2006-05-17",149,6.5,2704
103000000,500188435,172385,"Rio 2",42.40024,"Released","2014-03-19",102,6.3,978
110000000,407711549,36658,"X2",2.871739,"Released","2003-04-24",133,6.8,3506
125000000,626137675,51497,"Fast Five",7.255718,"Released","2011-04-20",130,7.1,2438
125000000,334615000,58574,"Sherlock Holmes: A Game of Shadows",81.499621,"Released","2011-11-22",129,7,3886
125000000,232713139,18823,"Clash of the Titans",47.686442,"Released","2010-04-01",106,5.6,2233
65000000,261317921,861,"Total Recall",43.129703,"Released","1990-06-01",113,7.1,1710
160000000,61698899,1911,"The 13th Warrior",27.220157,"Released","1999-08-27",102,6.4,510
130000000,276572938,49040,"The Bourne Legacy",90.33681,"Released","2012-08-08",120,6,2651
125000000,238207122,415,"Batman & Robin",50.073575,"Released","1997-06-20",125,4.2,1418
123000000,345141403,8871,"How the Grinch Stole Christmas",45.419668,"Released","2000-11-17",104,6.2,1386
125000000,544272402,435,"The Day After Tomorrow",41.380094,"Released","2004-05-26",124,6.2,2392
125000000,546388105,955,"Mission: Impossible II",54.931334,"Released","2000-05-24",123,5.9,1928
120000000,325756637,2133,"The Perfect Storm",25.752118,"Released","2000-03-15",130,6.2,597
130000000,289047763,1979,"Fantastic 4: Rise of the Silver Surfer",60.810723,"Released","2007-06-13",92,5.4,2589
120000000,609016565,87827,"Life of Pi",51.328145,"Released","2012-11-20",127,7.2,5797
110000000,228738393,1250,"Ghost Rider",46.834704,"Released","2007-02-16",114,5.2,1712
120000000,415484914,324668,"Jason Bourne",62.641286,"Released","2016-07-27",123,5.9,2341
120000000,259175788,9471,"Charlie's Angels: Full Throttle",33.616115,"Released","2003-06-27",106,5.2,914
130000000,403170142,70981,"Prometheus",68.889395,"Released","2012-05-30",124,6.3,5080
120000000,169956806,10996,"Stuart Little 2",27.990284,"Released","2002-07-19",78,5.4,613
115000000,286140700,68724,"Elysium",67.33767,"Released","2013-08-07",109,6.4,3439
105000000,115772733,2789,"The Chronicles of Riddick",27.835436,"Released","2004-06-11",119,6.3,1570
120000000,242688965,97020,"RoboCop",66.757869,"Released","2014-01-30",102,5.7,2342
120000000,93945766,7459,"Speed Racer",17.060695,"Released","2008-05-09",135,5.7,354
120000000,48668907,42888,"How Do You Know",11.137655,"Released","2010-12-17",121,4.9,223
117000000,261930431,37834,"Knight and Day",44.906918,"Released","2010-06-15",109,5.9,1547
120000000,286168572,75612,"Oblivion",67.698004,"Released","2013-04-10",124,6.4,4800
113000000,8.5e+08,1895,"Star Wars: Episode III - Revenge of the Sith",44.108427,"Released","2005-05-17",140,7.1,4116
120000000,649398328,1894,"Star Wars: Episode II - Attack of the Clones",43.987061,"Released","2002-05-15",142,6.4,3992
115000000,562816256,585,"Monsters, Inc.",106.815545,"Released","2001-11-01",92,7.5,5996
120000000,415440673,76170,"The Wolverine",15.953444,"Released","2013-07-23",126,6.3,4053
115000000,924317558,1893,"Star Wars: Episode I - The Phantom Menace",54.035265,"Released","1999-05-19",136,6.3,4432
135000000,585178928,49519,"The Croods",64.183321,"Released","2013-03-20",98,6.8,2399
97250400,132900000,2395,"Asterix at the Olympic Games",20.344364,"Released","2008-01-13",116,5,471
115000000,77628265,12100,"Windtalkers",18.714197,"Released","2002-06-14",134,5.8,341
115000000,164602163,290595,"The Huntsman: Winter's War",60.467984,"Released","2016-04-06",114,6,1523
125000000,477200000,98566,"Teenage Mutant Ninja Turtles",143.350376,"Released","2014-08-07",101,5.8,2636
105000000,716392705,49047,"Gravity",110.153618,"Released","2013-09-27",91,7.3,5751
116000000,178127760,9619,"Dante's Peak",16.90444,"Released","1997-02-07",108,5.7,428
135000000,245623848,308531,"Teenage Mutant Ninja Turtles: Out of the Shadows",39.873791,"Released","2016-06-01",112,5.8,963
120000000,167977596,166424,"Fantastic Four",38.126095,"Released","2015-08-05",100,4.4,2278
110000000,574480841,1593,"Night at the Museum",48.780039,"Released","2006-10-20",108,6.3,2862
110000000,470490832,254128,"San Andreas",100.412364,"Released","2015-05-27",114,6,2968
110000000,333011068,714,"Tomorrow Never Dies",42.887121,"Released","1997-12-11",119,6,925
110000000,215294342,2024,"The Patriot",23.657284,"Released","2000-06-28",165,6.8,1099
110000000,362744280,163,"Ocean's Twelve",76.840712,"Released","2004-12-09",125,6.4,2124
110000000,478207520,787,"Mr. & Mrs. Smith",44.635452,"Released","2005-06-07",120,6.5,2965
110000000,295238201,262500,"Insurgent",103.718387,"Released","2015-03-18",119,6.2,3829
116000000,1.02e+08,2567,"The Aviator",45.616098,"Released","2004-12-17",170,7,1489
112000000,237382724,38745,"Gulliver's Travels",22.845143,"Released","2010-12-25",85,4.9,621
120000000,227817248,40805,"The Green Hornet",31.703608,"Released","2011-01-12",119,5.5,1251
110000000,337580051,53182,"300: Rise of an Empire",71.510596,"Released","2014-03-05",102,6.1,2397
110000000,563749323,41513,"The Smurfs",36.65422,"Released","2011-07-29",103,5.5,1179
110000000,103951461,13700,"Home on the Range",19.625972,"Released","2004-04-02",76,5.7,389
110000000,179246868,262504,"Allegiant",86.105615,"Released","2016-03-09",121,5.9,1998
110000000,299268508,39254,"Real Steel",37.195046,"Released","2011-09-28",127,6.6,2692
105000000,347434178,77931,"The Smurfs 2",32.473628,"Released","2013-07-30",105,5.5,695
160000000,164508066,1639,"Speed 2: Cruise Control",23.336875,"Released","1997-06-13",121,4.1,434
110000000,125537191,80274,"Ender's Game",45.94834,"Released","2013-10-23",114,6.6,2303
110000000,383531464,1571,"Live Free or Die Hard",48.93337,"Released","2007-06-20",128,6.4,2089
93000000,871368364,120,"The Lord of the Rings: The Fellowship of the Ring",138.049577,"Released","2001-12-18",178,8,8705
110000000,72178895,10204,"Around the World in 80 Days",22.643776,"Released","2004-06-16",120,5.7,672
107000000,87713825,8489,"Ali",18.866672,"Released","2001-12-11",157,6.7,447
0,0,10588,"The Cat in the Hat",18.251129,"Released","2003-11-21",82,4.9,366
120000000,347234916,2048,"I, Robot",95.914473,"Released","2004-07-15",115,6.7,3793
130000000,211643158,1495,"Kingdom of Heaven",44.490453,"Released","2005-05-03",144,6.6,1157
133000000,300135367,10137,"Stuart Little",30.475297,"Released","1999-12-17",84,5.8,959
105000000,267045765,10198,"The Princess and the Frog",62.479574,"Released","2009-12-08",97,6.7,1247
108000000,630161890,286217,"The Martian",167.93287,"Released","2015-09-30",141,7.6,7268
126000000,162949164,1635,"The Island",37.68056,"Released","2005-07-20",136,6.5,1770
90000000,10372291,24113,"Town & Country",1.004579,"Released","2001-04-27",104,3.7,16
90000000,237202299,9679,"Gone in Sixty Seconds",52.995628,"Released","2000-06-09",118,6.1,1485
103000000,457640427,98,"Gladiator",95.301296,"Released","2000-05-01",155,7.9,5439
102000000,358372926,180,"Minority Report",65.948959,"Released","2002-06-20",145,7.1,2608
100000000,876688482,672,"Harry Potter and the Chamber of Secrets",132.397737,"Released","2002-11-13",161,7.4,5815
150000000,599045960,36557,"Casino Royale",88.935165,"Released","2006-11-14",144,7.3,3855
100000000,362211740,869,"Planet of the Apes",51.188633,"Released","2001-07-25",119,5.6,1243
100000000,5.2e+08,280,"Terminator 2: Judgment Day",101.74155,"Released","1991-07-01",137,7.7,4185
80000000,214104620,11322,"Public Enemies",33.691694,"Released","2009-07-01",140,6.5,1344
100000000,266465037,4982,"American Gangster",42.361215,"Released","2007-11-02",157,7.4,1502
115000000,378882411,36955,"True Lies",38.729418,"Released","1994-07-14",141,6.8,1116
100000000,150166126,18487,"The Taking of Pelham 1 2 3",40.597856,"Released","2009-06-11",106,6.2,954
100000000,310650585,39451,"Little Fockers",32.389353,"Released","2010-12-21",98,5.4,1060
100000000,170432927,27581,"The Other Guys",24.399642,"Released","2010-08-06",107,6.1,1383
100000000,242295562,9268,"Eraser",24.507987,"Released","1996-06-21",115,5.6,543
100000000,425368238,68718,"Django Unchained",82.121691,"Released","2012-12-25",165,7.8,10099
100000000,100138851,10545,"The Hunchback of Notre Dame",46.727941,"Released","1996-06-21",91,6.8,1129
100000000,169327687,11688,"The Emperor's New Groove",51.113717,"Released","2000-12-09",78,7.2,1490
100000000,312573423,76163,"The Expendables 2",53.732892,"Released","2012-08-08",103,6.1,2896
100000000,347451894,2059,"National Treasure",58.849256,"Released","2004-11-19",131,6.4,1926
100000000,249288105,2486,"Eragon",30.863434,"Released","2006-12-14",104,4.9,967
100000000,100086793,16523,"Where the Wild Things Are",31.586215,"Released","2009-10-16",101,6.4,572
100000000,268426634,116711,"Epic",36.711378,"Released","2013-05-15",102,6.4,1121
100000000,278731369,37710,"The Tourist",41.426678,"Released","2010-12-08",103,6,1699
100000000,211989043,9946,"End of Days",20.652943,"Released","1999-11-24",121,5.5,482
100000000,170877916,1372,"Blood Diamond",52.792678,"Released","2006-12-07",143,7.3,2281
100000000,392000694,106646,"The Wolf of Wall Street",95.007934,"Released","2013-12-25",180,7.9,6571
