"id","genre","n"
387,"Horror",1
387,"Science Fiction",2
388,"Action",10
388,"Adventure",11
388,"Animation",3
388,"Comedy",16
388,"Crime",6
388,"Drama",22
388,"Family",10
388,"Fantasy",5
388,"History",4
388,"Music",2
388,"Mystery",1
388,"Romance",8
388,"Science Fiction",5
388,"Thriller",3
388,"War",1
389,"Comedy",1
389,"Crime",2
389,"Documentary",1
389,"Drama",3
389,"Mystery",1
389,"Thriller",3
400,"Action",1
400,"Adventure",1
400,"Comedy",1
400,"Drama",8
400,"Fantasy",1
400,"Horror",3
400,"Romance",4
400,"Thriller",3
400,"War",1
404,"Comedy",4
404,"Crime",1
404,"Drama",3
404,"Family",1
404,"Music",1
404,"Mystery",1
404,"Romance",2
404,"Science Fiction",1
404,"Thriller",2
408,"Adventure",1
408,"Comedy",1
408,"Drama",2
408,"History",1
408,"Music",1
408,"Romance",2
408,"Thriller",1
408,"Western",1
410,"Drama",1
410,"Music",1
410,"Romance",1
417,"Comedy",6
417,"Drama",7
417,"Family",1
417,"Music",1
417,"Romance",8
418,"Action",12
418,"Adventure",5
418,"Comedy",6
418,"Crime",5
418,"Drama",14
418,"Family",2
418,"History",1
418,"Horror",1
418,"Music",2
418,"Mystery",3
418,"Romance",5
418,"Science Fiction",2
418,"Thriller",11
418,"War",2
418,"Western",2
419,"Comedy",1
419,"Drama",2
419,"Music",1
419,"Romance",1
420,"Drama",1
420,"Music",1
420,"Romance",1
421,"Drama",1
421,"Music",1
421,"Romance",1
422,"Drama",1
422,"Music",1
422,"Romance",1
424,"Action",1
424,"Comedy",1
424,"Drama",6
424,"History",1
424,"Music",1
424,"Romance",2
424,"Thriller",1
424,"Western",1
425,"Drama",1
425,"Music",1
425,"Romance",1
426,"Action",1
426,"Adventure",1
426,"Comedy",1
426,"Drama",2
426,"Family",1
426,"Fantasy",1
