"budget","revenue","movie_id","title","popularity","status","release_date","runtime","vote_average","vote_count","genre_id","genre"
225000000,624026776,41154,"Men in Black 3",52.035179,"Released","2012-05-23",106,6.2,4160,878,"Science Fiction"
250000000,956019788,122917,"The Hobbit: The Battle of the Five Armies",120.965743,"Released","2014-12-10",144,7.1,4760,28,"Action"
250000000,956019788,122917,"The Hobbit: The Battle of the Five Armies",120.965743,"Released","2014-12-10",144,7.1,4760,12,"Adventure"
250000000,956019788,122917,"The Hobbit: The Battle of the Five Armies",120.965743,"Released","2014-12-10",144,7.1,4760,14,"Fantasy"
215000000,752215857,1930,"The Amazing Spider-Man",89.866276,"Released","2012-06-27",136,6.5,6586,28,"Action"
215000000,752215857,1930,"The Amazing Spider-Man",89.866276,"Released","2012-06-27",136,6.5,6586,12,"Adventure"
215000000,752215857,1930,"The Amazing Spider-Man",89.866276,"Released","2012-06-27",136,6.5,6586,14,"Fantasy"
200000000,310669540,20662,"Robin Hood",37.668301,"Released","2010-05-12",140,6.2,1398,28,"Action"
200000000,310669540,20662,"Robin Hood",37.668301,"Released","2010-05-12",140,6.2,1398,12,"Adventure"
250000000,958400000,57158,"The Hobbit: The Desolation of Smaug",94.370564,"Released","2013-12-11",161,7.6,4524,12,"Adventure"
250000000,958400000,57158,"The Hobbit: The Desolation of Smaug",94.370564,"Released","2013-12-11",161,7.6,4524,14,"Fantasy"
180000000,372234864,2268,"The Golden Compass",42.990906,"Released","2007-12-04",113,5.8,1303,12,"Adventure"
180000000,372234864,2268,"The Golden Compass",42.990906,"Released","2007-12-04",113,5.8,1303,14,"Fantasy"
207000000,5.5e+08,254,"King Kong",61.22601,"Released","2005-12-14",187,6.6,2337,12,"Adventure"
207000000,5.5e+08,254,"King Kong",61.22601,"Released","2005-12-14",187,6.6,2337,18,"Drama"
207000000,5.5e+08,254,"King Kong",61.22601,"Released","2005-12-14",187,6.6,2337,28,"Action"
200000000,1845034188,597,"Titanic",100.025899,"Released","1997-11-18",194,7.5,7562,18,"Drama"
200000000,1845034188,597,"Titanic",100.025899,"Released","1997-11-18",194,7.5,7562,10749,"Romance"
200000000,1845034188,597,"Titanic",100.025899,"Released","1997-11-18",194,7.5,7562,53,"Thriller"
250000000,1153304495,271110,"Captain America: Civil War",198.372395,"Released","2016-04-27",147,7.1,7241,12,"Adventure"
250000000,1153304495,271110,"Captain America: Civil War",198.372395,"Released","2016-04-27",147,7.1,7241,28,"Action"
250000000,1153304495,271110,"Captain America: Civil War",198.372395,"Released","2016-04-27",147,7.1,7241,878,"Science Fiction"
209000000,303025485,44833,"Battleship",64.928382,"Released","2012-04-11",131,5.5,2114,53,"Thriller"
209000000,303025485,44833,"Battleship",64.928382,"Released","2012-04-11",131,5.5,2114,28,"Action"
209000000,303025485,44833,"Battleship",64.928382,"Released","2012-04-11",131,5.5,2114,12,"Adventure"
209000000,303025485,44833,"Battleship",64.928382,"Released","2012-04-11",131,5.5,2114,878,"Science Fiction"
150000000,1513528810,135397,"Jurassic World",418.708552,"Released","2015-06-09",124,6.5,8662,28,"Action"
150000000,1513528810,135397,"Jurassic World",418.708552,"Released","2015-06-09",124,6.5,8662,12,"Adventure"
150000000,1513528810,135397,"Jurassic World",418.708552,"Released","2015-06-09",124,6.5,8662,878,"Science Fiction"
150000000,1513528810,135397,"Jurassic World",418.708552,"Released","2015-06-09",124,6.5,8662,53,"Thriller"
200000000,1108561013,37724,"Skyfall",93.004993,"Released","2012-10-25",143,6.9,7604,28,"Action"
200000000,1108561013,37724,"Skyfall",93.004993,"Released","2012-10-25",143,6.9,7604,12,"Adventure"
200000000,1108561013,37724,"Skyfall",93.004993,"Released","2012-10-25",143,6.9,7604,53,"Thriller"
200000000,783766341,558,"Spider-Man 2",35.149586,"Released","2004-06-25",127,6.7,4321,28,"Action"
200000000,783766341,558,"Spider-Man 2",35.149586,"Released","2004-06-25",127,6.7,4321,12,"Adventure"
200000000,783766341,558,"Spider-Man 2",35.149586,"Released","2004-06-25",127,6.7,4321,14,"Fantasy"
200000000,1215439994,68721,"Iron Man 3",77.68208,"Released","2013-04-18",130,6.8,8806,28,"Action"
200000000,1215439994,68721,"Iron Man 3",77.68208,"Released","2013-04-18",130,6.8,8806,12,"Adventure"
200000000,1215439994,68721,"Iron Man 3",77.68208,"Released","2013-04-18",130,6.8,8806,878,"Science Fiction"
200000000,1025491110,12155,"Alice in Wonderland",78.530105,"Released","2010-03-03",108,6.4,4645,10751,"Family"
200000000,1025491110,12155,"Alice in Wonderland",78.530105,"Released","2010-03-03",108,6.4,4645,14,"Fantasy"
200000000,1025491110,12155,"Alice in Wonderland",78.530105,"Released","2010-03-03",108,6.4,4645,12,"Adventure"
210000000,459359555,36668,"X-Men: The Last Stand",3.857526,"Released","2006-05-24",104,6.3,3525,12,"Adventure"
210000000,459359555,36668,"X-Men: The Last Stand",3.857526,"Released","2006-05-24",104,6.3,3525,28,"Action"
210000000,459359555,36668,"X-Men: The Last Stand",3.857526,"Released","2006-05-24",104,6.3,3525,878,"Science Fiction"
210000000,459359555,36668,"X-Men: The Last Stand",3.857526,"Released","2006-05-24",104,6.3,3525,53,"Thriller"
200000000,743559607,62211,"Monsters University",89.186492,"Released","2013-06-20",104,7,3528,16,"Animation"
200000000,743559607,62211,"Monsters University",89.186492,"Released","2013-06-20",104,7,3528,10751,"Family"
150000000,836297228,8373,"Transformers: Revenge of the Fallen",21.939663,"Released","2009-06-19",150,6,3138,878,"Science Fiction"
150000000,836297228,8373,"Transformers: Revenge of the Fallen",21.939663,"Released","2009-06-19",150,6,3138,28,"Action"
150000000,836297228,8373,"Transformers: Revenge of the Fallen",21.939663,"Released","2009-06-19",150,6,3138,12,"Adventure"
210000000,1091405097,91314,"Transformers: Age of Extinction",116.840296,"Released","2014-06-25",165,5.8,3095,878,"Science Fiction"
210000000,1091405097,91314,"Transformers: Age of Extinction",116.840296,"Released","2014-06-25",165,5.8,3095,28,"Action"
210000000,1091405097,91314,"Transformers: Age of Extinction",116.840296,"Released","2014-06-25",165,5.8,3095,12,"Adventure"
200000000,491868548,68728,"Oz: The Great and Powerful",46.985445,"Released","2013-03-07",130,5.7,3530,14,"Fantasy"
200000000,491868548,68728,"Oz: The Great and Powerful",46.985445,"Released","2013-03-07",130,5.7,3530,12,"Adventure"
200000000,491868548,68728,"Oz: The Great and Powerful",46.985445,"Released","2013-03-07",130,5.7,3530,10751,"Family"
200000000,705717432,102382,"The Amazing Spider-Man 2",89.270217,"Released","2014-04-16",142,6.5,4179,28,"Action"
200000000,705717432,102382,"The Amazing Spider-Man 2",89.270217,"Released","2014-04-16",142,6.5,4179,12,"Adventure"
200000000,705717432,102382,"The Amazing Spider-Man 2",89.270217,"Released","2014-04-16",142,6.5,4179,14,"Fantasy"
170000000,400062763,20526,"TRON: Legacy",73.79505,"Released","2010-12-10",125,6.3,2841,12,"Adventure"
170000000,400062763,20526,"TRON: Legacy",73.79505,"Released","2010-12-10",125,6.3,2841,28,"Action"
170000000,400062763,20526,"TRON: Legacy",73.79505,"Released","2010-12-10",125,6.3,2841,878,"Science Fiction"
200000000,559852396,49013,"Cars 2",49.98659,"Released","2011-06-11",106,5.8,2033,16,"Animation"
200000000,559852396,49013,"Cars 2",49.98659,"Released","2011-06-11",106,5.8,2033,10751,"Family"
200000000,559852396,49013,"Cars 2",49.98659,"Released","2011-06-11",106,5.8,2033,12,"Adventure"
200000000,559852396,49013,"Cars 2",49.98659,"Released","2011-06-11",106,5.8,2033,35,"Comedy"
200000000,219851172,44912,"Green Lantern",51.872839,"Released","2011-06-16",114,5.1,2487,12,"Adventure"
200000000,219851172,44912,"Green Lantern",51.872839,"Released","2011-06-16",114,5.1,2487,28,"Action"
200000000,219851172,44912,"Green Lantern",51.872839,"Released","2011-06-16",114,5.1,2487,53,"Thriller"
200000000,219851172,44912,"Green Lantern",51.872839,"Released","2011-06-16",114,5.1,2487,878,"Science Fiction"
200000000,1066969703,10193,"Toy Story 3",59.995418,"Released","2010-06-16",103,7.6,4597,16,"Animation"
200000000,1066969703,10193,"Toy Story 3",59.995418,"Released","2010-06-16",103,7.6,4597,10751,"Family"
200000000,1066969703,10193,"Toy Story 3",59.995418,"Released","2010-06-16",103,7.6,4597,35,"Comedy"
200000000,371353001,534,"Terminator Salvation",71.862892,"Released","2009-05-20",115,5.9,2463,28,"Action"
200000000,371353001,534,"Terminator Salvation",71.862892,"Released","2009-05-20",115,5.9,2463,878,"Science Fiction"
200000000,371353001,534,"Terminator Salvation",71.862892,"Released","2009-05-20",115,5.9,2463,53,"Thriller"
190000000,1506249360,168259,"Furious 7",102.322217,"Released","2015-04-01",137,7.3,4176,28,"Action"
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560,28,"Action"
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560,18,"Drama"
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560,27,"Horror"
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560,878,"Science Fiction"
200000000,531865000,72190,"World War Z",81.834855,"Released","2013-06-20",116,6.7,5560,53,"Thriller"
250000000,747862775,127585,"X-Men: Days of Future Past",118.078691,"Released","2014-05-15",131,7.5,6032,28,"Action"
250000000,747862775,127585,"X-Men: Days of Future Past",118.078691,"Released","2014-05-15",131,7.5,6032,12,"Adventure"
250000000,747862775,127585,"X-Men: Days of Future Past",118.078691,"Released","2014-05-15",131,7.5,6032,14,"Fantasy"
250000000,747862775,127585,"X-Men: Days of Future Past",118.078691,"Released","2014-05-15",131,7.5,6032,878,"Science Fiction"
190000000,467365246,54138,"Star Trek Into Darkness",78.291018,"Released","2013-05-05",132,7.4,4418,28,"Action"
190000000,467365246,54138,"Star Trek Into Darkness",78.291018,"Released","2013-05-05",132,7.4,4418,12,"Adventure"
190000000,467365246,54138,"Star Trek Into Darkness",78.291018,"Released","2013-05-05",132,7.4,4418,878,"Science Fiction"
195000000,197687603,81005,"Jack the Giant Slayer",43.349855,"Released","2013-02-27",114,5.5,2598,28,"Action"
195000000,197687603,81005,"Jack the Giant Slayer",43.349855,"Released","2013-02-27",114,5.5,2598,10751,"Family"
195000000,197687603,81005,"Jack the Giant Slayer",43.349855,"Released","2013-02-27",114,5.5,2598,14,"Fantasy"
105000000,351040419,64682,"The Great Gatsby",61.196071,"Released","2013-05-10",143,7.3,3769,18,"Drama"
105000000,351040419,64682,"The Great Gatsby",61.196071,"Released","2013-05-10",143,7.3,3769,10749,"Romance"
150000000,335154643,9543,"Prince of Persia: The Sands of Time",62.169881,"Released","2010-05-19",116,6.2,2317,12,"Adventure"
150000000,335154643,9543,"Prince of Persia: The Sands of Time",62.169881,"Released","2010-05-19",116,6.2,2317,14,"Fantasy"
150000000,335154643,9543,"Prince of Persia: The Sands of Time",62.169881,"Released","2010-05-19",116,6.2,2317,28,"Action"
150000000,335154643,9543,"Prince of Persia: The Sands of Time",62.169881,"Released","2010-05-19",116,6.2,2317,10749,"Romance"
180000000,407602906,68726,"Pacific Rim",56.523205,"Released","2013-07-11",131,6.7,4794,28,"Action"
180000000,407602906,68726,"Pacific Rim",56.523205,"Released","2013-07-11",131,6.7,4794,878,"Science Fiction"
180000000,407602906,68726,"Pacific Rim",56.523205,"Released","2013-07-11",131,6.7,4794,12,"Adventure"
195000000,1123746996,38356,"Transformers: Dark of the Moon",28.529607,"Released","2011-06-28",154,6.1,3299,28,"Action"
195000000,1123746996,38356,"Transformers: Dark of the Moon",28.529607,"Released","2011-06-28",154,6.1,3299,878,"Science Fiction"
195000000,1123746996,38356,"Transformers: Dark of the Moon",28.529607,"Released","2011-06-28",154,6.1,3299,12,"Adventure"
185000000,786636033,217,"Indiana Jones and the Kingdom of the Crystal Skull",75.674458,"Released","2008-05-21",122,5.7,2495,12,"Adventure"
185000000,786636033,217,"Indiana Jones and the Kingdom of the Crystal Skull",75.674458,"Released","2008-05-21",122,5.7,2495,28,"Action"
175000000,331926147,105864,"The Good Dinosaur",51.692953,"Released","2015-11-14",93,6.6,1736,12,"Adventure"
175000000,331926147,105864,"The Good Dinosaur",51.692953,"Released","2015-11-14",93,6.6,1736,16,"Animation"
175000000,331926147,105864,"The Good Dinosaur",51.692953,"Released","2015-11-14",93,6.6,1736,10751,"Family"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,16,"Animation"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,12,"Adventure"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,35,"Comedy"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,10751,"Family"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,28,"Action"
185000000,538983207,62177,"Brave",125.114374,"Released","2012-06-21",93,6.7,4641,14,"Fantasy"
185000000,343471816,188927,"Star Trek Beyond",65.352913,"Released","2016-07-07",122,6.6,2568,28,"Action"
185000000,343471816,188927,"Star Trek Beyond",65.352913,"Released","2016-07-07",122,6.6,2568,12,"Adventure"
185000000,343471816,188927,"Star Trek Beyond",65.352913,"Released","2016-07-07",122,6.6,2568,878,"Science Fiction"
180000000,521311860,10681,"WALL·E",66.390712,"Released","2008-06-22",98,7.8,6296,16,"Animation"
180000000,521311860,10681,"WALL·E",66.390712,"Released","2008-06-22",98,7.8,6296,10751,"Family"
140000000,258022233,5174,"Rush Hour 3",22.57178,"Released","2007-08-08",91,6.1,783,28,"Action"
140000000,258022233,5174,"Rush Hour 3",22.57178,"Released","2007-08-08",91,6.1,783,35,"Comedy"
140000000,258022233,5174,"Rush Hour 3",22.57178,"Released","2007-08-08",91,6.1,783,80,"Crime"
140000000,258022233,5174,"Rush Hour 3",22.57178,"Released","2007-08-08",91,6.1,783,53,"Thriller"
200000000,769653595,14161,"2012",45.274225,"Released","2009-10-10",158,5.6,4903,28,"Action"
200000000,769653595,14161,"2012",45.274225,"Released","2009-10-10",158,5.6,4903,12,"Adventure"
200000000,769653595,14161,"2012",45.274225,"Released","2009-10-10",158,5.6,4903,878,"Science Fiction"
200000000,325233863,17979,"A Christmas Carol",39.744242,"Released","2009-11-04",96,6.6,1095,16,"Animation"
200000000,325233863,17979,"A Christmas Carol",39.744242,"Released","2009-11-04",96,6.6,1095,18,"Drama"
176000003,183987723,76757,"Jupiter Ascending",85.36908,"Released","2015-02-04",124,5.2,2768,878,"Science Fiction"
176000003,183987723,76757,"Jupiter Ascending",85.36908,"Released","2015-02-04",124,5.2,2768,14,"Fantasy"
176000003,183987723,76757,"Jupiter Ascending",85.36908,"Released","2015-02-04",124,5.2,2768,28,"Action"
176000003,183987723,76757,"Jupiter Ascending",85.36908,"Released","2015-02-04",124,5.2,2768,12,"Adventure"
180000000,356743061,258489,"The Legend of Tarzan",42.741719,"Released","2016-06-29",109,5.5,2430,28,"Action"
180000000,356743061,258489,"The Legend of Tarzan",42.741719,"Released","2016-06-29",109,5.5,2430,12,"Adventure"
180000000,748806957,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,"Released","2005-12-07",143,6.7,2629,12,"Adventure"
180000000,748806957,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,"Released","2005-12-07",143,6.7,2629,10751,"Family"
180000000,748806957,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,"Released","2005-12-07",143,6.7,2629,14,"Fantasy"
178000000,543934787,246655,"X-Men: Apocalypse",139.272042,"Released","2016-05-18",144,6.4,4721,878,"Science Fiction"
185000000,1004558444,155,"The Dark Knight",187.322927,"Released","2008-07-16",152,8.2,12002,18,"Drama"
185000000,1004558444,155,"The Dark Knight",187.322927,"Released","2008-07-16",152,8.2,12002,28,"Action"
185000000,1004558444,155,"The Dark Knight",187.322927,"Released","2008-07-16",152,8.2,12002,80,"Crime"
185000000,1004558444,155,"The Dark Knight",187.322927,"Released","2008-07-16",152,8.2,12002,53,"Thriller"
175000000,735099082,14160,"Up",92.201962,"Released","2009-05-13",96,7.7,6870,16,"Animation"
175000000,735099082,14160,"Up",92.201962,"Released","2009-05-13",96,7.7,6870,35,"Comedy"
175000000,735099082,14160,"Up",92.201962,"Released","2009-05-13",96,7.7,6870,10751,"Family"
175000000,735099082,14160,"Up",92.201962,"Released","2009-05-13",96,7.7,6870,12,"Adventure"
175000000,381509870,15512,"Monsters vs Aliens",36.167578,"Released","2009-03-19",94,6,1423,16,"Animation"
175000000,381509870,15512,"Monsters vs Aliens",36.167578,"Released","2009-03-19",94,6,1423,10751,"Family"
175000000,381509870,15512,"Monsters vs Aliens",36.167578,"Released","2009-03-19",94,6,1423,12,"Adventure"
175000000,381509870,15512,"Monsters vs Aliens",36.167578,"Released","2009-03-19",94,6,1423,878,"Science Fiction"
140000000,585174222,1726,"Iron Man",120.725053,"Released","2008-04-30",126,7.4,8776,28,"Action"
140000000,585174222,1726,"Iron Man",120.725053,"Released","2008-04-30",126,7.4,8776,878,"Science Fiction"
140000000,585174222,1726,"Iron Man",120.725053,"Released","2008-04-30",126,7.4,8776,12,"Adventure"
170000000,185770160,44826,"Hugo",32.319043,"Released","2011-11-22",126,7,2141,12,"Adventure"
170000000,185770160,44826,"Hugo",32.319043,"Released","2011-11-22",126,7,2141,18,"Drama"
170000000,185770160,44826,"Hugo",32.319043,"Released","2011-11-22",126,7,2141,10751,"Family"
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020,28,"Action"
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020,12,"Adventure"
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020,35,"Comedy"
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020,878,"Science Fiction"
170000000,222104681,8487,"Wild Wild West",40.748915,"Released","1999-06-29",106,5.1,1020,37,"Western"
145000000,401128639,1735,"The Mummy: Tomb of the Dragon Emperor",60.034162,"Released","2008-07-01",112,5.2,1387,12,"Adventure"
145000000,401128639,1735,"The Mummy: Tomb of the Dragon Emperor",60.034162,"Released","2008-07-01",112,5.2,1387,28,"Action"
145000000,401128639,1735,"The Mummy: Tomb of the Dragon Emperor",60.034162,"Released","2008-07-01",112,5.2,1387,14,"Fantasy"
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458,28,"Action"
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458,12,"Adventure"
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458,80,"Crime"
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458,14,"Fantasy"
175000000,7.45e+08,297761,"Suicide Squad",90.23792,"Released","2016-08-02",123,5.9,7458,878,"Science Fiction"
175000000,1.73e+08,2698,"Evan Almighty",27.082182,"Released","2007-06-09",96,5.3,1151,14,"Fantasy"
175000000,1.73e+08,2698,"Evan Almighty",27.082182,"Released","2007-06-09",96,5.3,1151,35,"Comedy"
175000000,1.73e+08,2698,"Evan Almighty",27.082182,"Released","2007-06-09",96,5.3,1151,10751,"Family"
178000000,370541256,137113,"Edge of Tomorrow",79.456485,"Released","2014-05-27",113,7.6,4858,28,"Action"
178000000,370541256,137113,"Edge of Tomorrow",79.456485,"Released","2014-05-27",113,7.6,4858,878,"Science Fiction"
175000000,264218220,9804,"Waterworld",44.640292,"Released","1995-07-28",135,5.9,992,12,"Adventure"
175000000,264218220,9804,"Waterworld",44.640292,"Released","1995-07-28",135,5.9,992,28,"Action"
175000000,302469017,14869,"G.I. Joe: The Rise of Cobra",32.852443,"Released","2009-08-04",118,5.6,1962,12,"Adventure"
175000000,302469017,14869,"G.I. Joe: The Rise of Cobra",32.852443,"Released","2009-08-04",118,5.6,1962,28,"Action"
175000000,302469017,14869,"G.I. Joe: The Rise of Cobra",32.852443,"Released","2009-08-04",118,5.6,1962,53,"Thriller"
175000000,302469017,14869,"G.I. Joe: The Rise of Cobra",32.852443,"Released","2009-08-04",118,5.6,1962,878,"Science Fiction"
175000000,857611174,150540,"Inside Out",128.655964,"Released","2015-06-09",94,8,6560,18,"Drama"
175000000,857611174,150540,"Inside Out",128.655964,"Released","2015-06-09",94,8,6560,35,"Comedy"
175000000,857611174,150540,"Inside Out",128.655964,"Released","2015-06-09",94,8,6560,16,"Animation"
175000000,857611174,150540,"Inside Out",128.655964,"Released","2015-06-09",94,8,6560,10751,"Family"
175000000,966550600,278927,"The Jungle Book",94.199316,"Released","2016-04-07",106,6.7,2892,10751,"Family"
175000000,966550600,278927,"The Jungle Book",94.199316,"Released","2016-04-07",106,6.7,2892,12,"Adventure"
